;T1;T2;T3;T4;T5;E;STD
R2-train;0.335951540611;0.320213875104;0.314826304688;0.306280733074;0.31443460514;0.318341411723;0.0110306600347
R2-test;0.240184463855;0.300520597085;0.328846353106;0.349460375554;0.328603920446;0.309523142009;0.0424892436956
RMSE-train;31.4079389903;31.5724501177;26.4497311643;30.3101128014;27.428207984;29.4336882115;2.35404116856
RMSE-test;28.8128402855;28.7802331618;30.0074811546;29.1117075692;29.7916101848;29.3007744712;0.566820816478
Page Popularity;-0.120529767053;-0.657948875599;-0.17326983315;-0.0892944807684;0.189781046253;-0.170252382063;0.306801061173
Page Checkins;-0.673520333321;-0.832748571655;-0.601761263077;-0.610498306731;-0.627450244883;-0.669195743933;0.0955297264762
Page talking about;-1.22554817784;-0.508067954931;-1.11694052209;-0.805301277072;-1.09976585483;-0.951124757352;0.29260086935
Page Category;-0.075067953764;-0.101532495136;-0.0300852976995;-0.0748163049067;-0.0179055165643;-0.059881513614;0.0347788694046
extra_0;-0.107625467606;-0.365357456244;-0.174686718515;0.0352205885755;-0.0803049447815;-0.138550799714;0.147726533876
extra_1;0.293183310436;0.254862777331;0.370887107218;0.277840298454;0.313673359677;0.302089370623;0.0440596297252
extra_2;0.334828843331;0.554546330037;0.390811188057;0.378884483919;0.482481344447;0.428310437958;0.0886818960786
extra_3;0.405780907794;0.397280191637;0.174460284817;0.333851043618;0.275439347466;0.317362355066;0.0957276320697
extra_4;0.603805139936;0.843616667269;0.852678323826;0.893646813687;0.891399695797;0.817029328103;0.121288378058
extra_5;0.545127358652;-0.463013359566;-0.873047789354;-0.868736002185;-0.790668336145;-0.490067625719;0.60265763937
extra_6;-0.379784224251;-0.338476610257;-0.415447328572;-0.348056862003;-0.318752641291;-0.360103533275;0.0379901554058
extra_7;0.976137309095;0.854497142274;0.815204881842;0.75572316139;0.822422892307;0.844797077382;0.0816315080564
extra_8;1.87117647147;2.08694329961;2.22571998257;2.02106902008;1.87427248244;2.01583625123;0.150084582313
extra_9;0.197471742643;0.0976226826618;0.183089200543;0.149040846162;0.130459350568;0.151536764515;0.0401957511563
extra_10;-0.324928161674;-0.118982586757;-0.0545262397072;-0.314458148012;-0.0961294788914;-0.181804923008;0.128031178263
extra_11;0.44901001078;-0.178588465129;0.262625897408;0.286453809299;0.25657376533;0.215215003537;0.233866727447
extra_12;0.911513164105;0.914454240876;0.673631380165;0.55511515845;0.7998608015;0.770914949019;0.155918962242
extra_13;1.59280852242;2.70503294192;2.17607832937;1.8877782237;1.5780861209;1.98795682766;0.470042494125
extra_14;0.664531748824;0.0239356634032;0.292394584013;0.430757710828;0.542173935127;0.390758728439;0.246836391184
extra_15;-0.0738875563414;-0.353305390649;-0.217951556069;-0.0293022207342;-0.171218975593;-0.169133139877;0.127408215547
extra_16;-0.134619500112;-0.301349415447;-0.16528011959;-0.189048868219;-0.22499111789;-0.203057804252;0.0641278338542
extra_17;0.0977804396508;0.221975548061;0.0947902064689;0.0851314816153;0.18498628109;0.136932791377;0.0623171086851
extra_18;0.12741341048;0.00993017554007;-0.0983017871737;0.00727103647523;0.0222382131261;0.0137102096894;0.0800055994348
extra_19;0.256202202093;0.354153824176;0.437286320801;0.449295505743;0.423601610813;0.384107892725;0.0804584299354
extra_20;0.18299419685;0.155976658415;0.100557490706;0.253729531355;0.17880285344;0.174412146153;0.0551782448962
extra_21;-0.542823410795;-0.413108036273;-0.537762747148;-0.406721954539;-0.406135256493;-0.46131028105;0.0721751255992
extra_22;0.439183554511;0.176729454382;0.521776220873;0.606999206172;0.313423400059;0.411622367199;0.170208194112
extra_23;-1.02575207612;0.00760098341513;-0.116038991682;-0.107156014187;0.0486457899085;-0.238540061732;0.445822880524
extra_24;-0.104122684259;-0.0567190085065;-0.165471474947;-0.0538955683075;-0.0365425741315;-0.0833502620303;0.0523047546337
CC1;0.715806513944;0.617724707338;0.965252933707;0.752971612679;0.822402319573;0.774831617448;0.129583615132
CC2;8.80809185945;8.47079371537;8.96716110037;8.06367703156;8.80447713758;8.62284016887;0.361126231144
CC3;0.651401636567;0.789944434113;0.709562164877;0.676268067696;0.755155043765;0.716466269404;0.056552697718
CC4;0.917032004823;0.691176414627;1.10268172471;1.01192462879;0.926519372502;0.92986682909;0.153091086265
CC5;6.71971927408;6.33900378941;6.80618626374;6.09147741474;6.63847106917;6.51897156223;0.296737133726
Base Time;-4.57727806892;-4.51759563641;-4.55643024927;-4.58586283032;-4.71671146775;-4.59077565053;0.0751682639574
Post Length;-0.0117339166217;-0.0124145350958;0.14715901586;0.148636715664;0.0471331950091;0.0637560949631;0.0805260742247
Post Share Count;2.15308302925;3.58107379754;2.11055312166;1.96101059728;2.28634118376;2.4184123459;0.660230594349
H Local;0.6525761366;0.666986135743;0.643741714586;0.65160551426;0.658575847308;0.6546970697;0.00866230249238
published_weekday_0;-0.175214932256;-0.198448386776;-0.0699560718631;-0.157680858805;-0.188400975035;-0.157940244947;0.0514986952454
published_weekday_1;-0.20757325525;-0.252830230489;-0.112423392923;-0.180252413942;-0.126982041343;-0.17601226679;0.0577983180429
published_weekday_2;-0.119468470804;-0.0791278826857;-0.276681643855;-0.0613077170274;-0.27559322227;-0.162435787328;0.105912705428
published_weekday_3;0.12490077796;0.311090846385;0.268081190863;0.146814839663;0.122326383376;0.194642807649;0.0885077289011
